n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,0.0230099,0.0227472,0.0127934,0.0127119,0.000533568,0.000533426
6,0.021119,0.0208976,0.0170324,0.0168882,0.0129458,0.0128624
7,0.0518988,0.050575,0.0355746,0.0349492,0.031488,0.0309974
8,0.0765042,0.073651,0.0398136,0.0390315,0.0377703,0.0370659
9,0.0929809,0.0887891,0.0644635,0.0624296,0.0481393,0.0469989
10,0.12978,0.121711,0.0808957,0.0777101,0.0523783,0.0510302
11,0.150321,0.139568,0.105546,0.100167,0.0933302,0.0891073
12,0.193216,0.175696,0.128074,0.120212,0.103666,0.0984735
13,0.234079,0.208701,0.16695,0.153758,0.140509,0.131084
14,0.283071,0.246533,0.193543,0.175966,0.150845,0.140019
15,0.323934,0.276702,0.230386,0.205773,0.173418,0.159214
16,0.250971,0.221955,0.26714,0.234434,0.210216,0.189591
17,0.289802,0.251588,0.324305,0.27697,0.255188,0.225229
18,0.281804,0.245578,0.356995,0.300224,0.27162,0.237857
19,0.324699,0.277255,0.41416,0.339105,0.326753,0.278738
20,0.280165,0.244341,0.44685,0.36036,0.33911,0.287596
21,0.363749,0.304934,0.373954,0.311992,0.404415,0.332633
22,0.337505,0.286452,0.333418,0.28353,0.43304,0.351466
23,0.364187,0.305239,0.384465,0.319185,0.496302,0.391222
24,0.348071,0.293951,0.301186,0.26006,0.531024,0.411998
25,0.409333,0.335907,0.392943,0.324933,0.559694,0.428616
26,0.42983,0.34938,0.372751,0.311163,0.425766,0.346731
27,0.460499,0.369031,0.40553,0.333376,0.458544,0.367797
28,0.454566,0.365276,0.38335,0.318426,0.426115,0.346959
29,0.509643,0.39929,0.42629,0.347073,0.469021,0.374386
30,0.544421,0.419822,0.418291,0.341829,0.444732,0.359004
31,0.495734,0.390876,0.465295,0.37205,0.451025,0.363025
32,0.422683,0.344713,0.451289,0.363193,0.428812,0.348718
33,0.518448,0.404556,0.477849,0.379884,0.465656,0.372277
34,0.482043,0.38248,0.504475,0.396178,0.484109,0.383754
35,0.545272,0.420316,0.571768,0.435474,0.510802,0.399986
36,0.484503,0.383996,0.59644,0.449231,0.515041,0.402524
37,0.602656,0.452644,0.590463,0.445929,0.541712,0.418249
38,0.61308,0.45832,0.653669,0.479866,0.558111,0.427711
39,0.66406,0.485243,0.714854,0.510736,0.582794,0.441664
40,0.601214,0.451854,0.761891,0.533217,0.589076,0.445161
41,0.696969,0.501907,0.644176,0.474905,0.6218,0.463023
42,0.752146,0.528646,0.634134,0.469605,0.66465,0.485547
43,0.827512,0.562865,0.67704,0.491881,0.709633,0.508176
44,0.787043,0.544811,0.597837,0.45,0.697604,0.502223
45,0.868594,0.580459,0.681476,0.49413,0.760865,0.532738
46,0.834288,0.565817,0.669447,0.488008,0.811845,0.555962
47,0.887267,0.58822,0.710299,0.508503,0.846667,0.571158
48,0.710507,0.508605,0.635271,0.470208,0.863088,0.578143
49,0.905895,0.59582,0.798232,0.549876,0.916189,0.599959
50,0.889945,0.589322,0.774021,0.538845,0.973265,0.622153
51,0.955105,0.615228,0.851419,0.573191,0.871941,0.581861
52,0.821199,0.560096,0.788551,0.545497,0.811038,0.555604
53,0.94335,0.610679,0.868115,0.580258,0.908892,0.597029
54,0.970077,0.620946,0.90297,0.594636,0.854108,0.574337
55,0.974127,0.622478,0.99054,0.628624,0.876659,0.583829
56,0.880921,0.585599,0.917545,0.600501,0.80765,0.554095
57,1.01934,0.639167,1.00726,0.634781,0.944116,0.610977
58,1.03988,0.646503,1.0461,0.648695,0.919904,0.601443
59,1.11317,0.671484,1.14788,0.682693,0.954648,0.615052
60,1.0464,0.648802,1.12155,0.674226,0.86746,0.579983
61,1.0709,0.6573,1.06703,0.655973,0.961116,0.617534
62,1.02235,0.64025,1.01846,0.638849,0.94711,0.61214
63,1.06716,0.656017,1.09994,0.66711,0.959522,0.616924
64,0.963772,0.618549,0.949558,0.613088,0.9537,0.614687
65,1.18749,0.695014,1.11855,0.673247,1.02499,0.6412
66,1.17356,0.690736,1.0964,0.665929,1.06585,0.655566
67,1.28559,0.723514,1.16767,0.68891,1.11485,0.672034
68,1.12531,0.67545,1.06008,0.653573,1.1131,0.671461
69,1.23312,0.708617,1.14372,0.68137,1.19047,0.695923
70,1.32292,0.733644,1.15617,0.68531,1.1724,0.690378
71,1.41042,0.75596,1.24373,0.711693,1.28439,0.723182
72,1.21145,0.702236,1.12811,0.676356,1.26435,0.717576
73,1.45359,0.766271,1.25226,0.714142,1.32344,0.733783
74,1.45182,0.765857,1.24642,0.712467,1.39679,0.75261
75,1.54142,0.785922,1.34001,0.738156,1.46817,0.769653
76,1.3323,0.736129,1.2528,0.714295,1.29366,0.725736
77,1.50326,0.777597,1.34661,0.739879,1.34259,0.738831
78,1.47693,0.771663,1.39145,0.751285,1.31629,0.731871
79,1.55835,0.789517,1.49527,0.775813,1.347,0.739981
80,1.28621,0.723684,1.4001,0.753428,1.21709,0.70391
