n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
13,2.17653e-06,2.17653e-06,1.82266e-06,1.82266e-06,2.08033e-06,2.08033e-06
14,1.78568e-06,1.78567e-06,1.98818e-06,1.98817e-06,2.04133e-06,2.04132e-06
15,2.4053e-06,2.4053e-06,2.30708e-06,2.30708e-06,2.20583e-06,2.20583e-06
16,2.11872e-06,2.11872e-06,2.4255e-06,2.4255e-06,1.81194e-06,1.81194e-06
17,3.19246e-06,3.19245e-06,2.83859e-06,2.83858e-06,2.53585e-06,2.53584e-06
18,3.30684e-06,3.30683e-06,2.85071e-06,2.8507e-06,2.65023e-06,2.65022e-06
19,4.68937e-06,4.68936e-06,3.06735e-06,3.06735e-06,3.12252e-06,3.12252e-06
20,3.33916e-06,3.33916e-06,2.67649e-06,2.67649e-06,3.33815e-06,3.33815e-06
21,5.16571e-06,5.16569e-06,3.59886e-06,3.59885e-06,4.46403e-06,4.46402e-06
22,4.07115e-06,4.07114e-06,3.51074e-06,3.51073e-06,4.07115e-06,4.07114e-06
23,4.83608e-06,4.83607e-06,3.98303e-06,3.98302e-06,4.64166e-06,4.64165e-06
24,3.85187e-06,3.85186e-06,3.69747e-06,3.69746e-06,3.48992e-06,3.48991e-06
25,5.56807e-06,5.56805e-06,5.17317e-06,5.17316e-06,4.8193e-06,4.81929e-06
26,4.37529e-06,4.37528e-06,5.08505e-06,5.08504e-06,4.32416e-06,4.32415e-06
27,5.54522e-06,5.54521e-06,5.39991e-06,5.3999e-06,5.04806e-06,5.04805e-06
28,4.7043e-06,4.70429e-06,4.75745e-06,4.75744e-06,4.2031e-06,4.20309e-06
29,6.78447e-06,6.78445e-06,5.31988e-06,5.31987e-06,6.0357e-06,6.03568e-06
30,6.547e-06,6.54698e-06,5.23782e-06,5.23781e-06,5.28895e-06,5.28894e-06
31,7.87841e-06,7.87837e-06,6.11108e-06,6.11106e-06,5.96375e-06,5.96373e-06
32,6.48111e-06,6.48109e-06,5.67717e-06,5.67715e-06,5.22508e-06,5.22507e-06
33,8.95618e-06,8.95614e-06,6.94734e-06,6.94732e-06,6.44816e-06,6.44814e-06
34,7.66316e-06,7.66314e-06,6.70583e-06,6.70581e-06,6.40107e-06,6.40105e-06
35,8.22762e-06,8.22758e-06,7.17611e-06,7.17608e-06,7.17409e-06,7.17406e-06
36,7.13912e-06,7.1391e-06,5.77477e-06,5.77475e-06,6.38227e-06,6.38225e-06
37,8.75912e-06,8.75909e-06,7.55422e-06,7.55419e-06,7.65244e-06,7.65241e-06
38,7.31676e-06,7.31673e-06,7.51926e-06,7.51923e-06,6.86265e-06,6.86262e-06
39,8.58491e-06,8.58487e-06,7.93941e-06,7.93938e-06,7.68073e-06,7.6807e-06
40,7.4473e-06,7.44727e-06,7.40425e-06,7.40422e-06,6.8499e-06,6.84988e-06
41,1.08286e-05,1.08285e-05,8.92301e-06,8.92297e-06,9.38015e-06,9.3801e-06
42,9.88943e-06,9.88938e-06,8.98727e-06,8.98723e-06,8.43292e-06,8.43288e-06
43,1.18684e-05,1.18683e-05,9.55475e-06,9.55471e-06,8.94826e-06,8.94822e-06
44,9.7724e-06,9.77236e-06,8.61055e-06,8.61052e-06,7.85774e-06,7.85771e-06
45,1.25001e-05,1.25e-05,9.67318e-06,9.67313e-06,9.63316e-06,9.63311e-06
46,1.08031e-05,1.0803e-05,9.59617e-06,9.59612e-06,9.19723e-06,9.19719e-06
47,1.15098e-05,1.15098e-05,1.06188e-05,1.06187e-05,9.6574e-06,9.65736e-06
48,9.58242e-06,9.58237e-06,8.98098e-06,8.98094e-06,8.07074e-06,8.0707e-06
49,1.36132e-05,1.36131e-05,1.07964e-05,1.07964e-05,1.11012e-05,1.11011e-05
50,1.01519e-05,1.01519e-05,1.06081e-05,1.0608e-05,1.07133e-05,1.07133e-05
51,1.33307e-05,1.33306e-05,1.20377e-05,1.20376e-05,1.12358e-05,1.12357e-05
52,1.20458e-05,1.20457e-05,9.78127e-06,9.78122e-06,9.83846e-06,9.83841e-06
53,1.4169e-05,1.41689e-05,1.21601e-05,1.21601e-05,1.26714e-05,1.26714e-05
54,1.27246e-05,1.27245e-05,1.19247e-05,1.19246e-05,1.11699e-05,1.11698e-05
55,1.57581e-05,1.57579e-05,1.2397e-05,1.23969e-05,1.20882e-05,1.20881e-05
56,1.26648e-05,1.26647e-05,1.10037e-05,1.10037e-05,1.00935e-05,1.00934e-05
57,1.66936e-05,1.66934e-05,1.29224e-05,1.29223e-05,1.33765e-05,1.33765e-05
58,1.36833e-05,1.36832e-05,1.3094e-05,1.30939e-05,1.20795e-05,1.20794e-05
59,1.60111e-05,1.60109e-05,1.44163e-05,1.44162e-05,1.20496e-05,1.20495e-05
60,1.42801e-05,1.428e-05,1.24637e-05,1.24636e-05,1.17169e-05,1.17168e-05
61,1.53868e-05,1.53867e-05,1.39733e-05,1.39732e-05,1.31385e-05,1.31384e-05
62,1.48977e-05,1.48976e-05,1.3345e-05,1.33449e-05,1.31015e-05,1.31014e-05
63,1.71272e-05,1.71271e-05,1.49721e-05,1.4972e-05,1.29151e-05,1.2915e-05
64,1.30766e-05,1.30765e-05,1.27819e-05,1.27819e-05,1.13725e-05,1.13725e-05
65,1.98149e-05,1.98147e-05,1.51978e-05,1.51977e-05,1.41524e-05,1.41523e-05
66,1.74704e-05,1.74702e-05,1.54696e-05,1.54695e-05,1.36532e-05,1.36531e-05
67,2.00507e-05,2.00505e-05,1.66456e-05,1.66455e-05,1.44793e-05,1.44792e-05
68,1.77113e-05,1.77111e-05,1.35832e-05,1.35832e-05,1.35362e-05,1.35361e-05
69,2.01803e-05,2.01801e-05,1.61545e-05,1.61544e-05,1.60704e-05,1.60703e-05
70,1.90857e-05,1.90855e-05,1.64815e-05,1.64814e-05,1.55221e-05,1.5522e-05
71,2.1658e-05,2.16578e-05,1.7459e-05,1.74589e-05,1.70029e-05,1.70028e-05
72,1.66652e-05,1.66651e-05,1.491e-05,1.49099e-05,1.47095e-05,1.47094e-05
73,2.22968e-05,2.22966e-05,1.76767e-05,1.76765e-05,1.86942e-05,1.86941e-05
74,2.07031e-05,2.07029e-05,1.79495e-05,1.79494e-05,1.71866e-05,1.71865e-05
75,2.20244e-05,2.20241e-05,1.90212e-05,1.9021e-05,1.8109e-05,1.81088e-05
76,1.82725e-05,1.82723e-05,1.68159e-05,1.68158e-05,1.41054e-05,1.41053e-05
77,2.21509e-05,2.21506e-05,1.90293e-05,1.90291e-05,1.78877e-05,1.78875e-05
