period,n,linear_routing_volume,grid_routing_volume,improvement_percent,factories_linear,factories_grid
2,13,107.0,94.0,12.15,2,2
2,16,119.0,111.0,6.72,2,2
2,19,162.0,149.0,8.02,2,2
2,22,190.0,166.0,12.63,3,3
2,25,226.0,206.0,8.85,3,3
2,28,235.0,232.0,1.28,3,3
2,31,281.0,246.0,12.46,4,4
2,34,299.0,280.0,6.35,4,4
2,37,341.0,327.0,4.11,4,4
2,40,356.0,353.0,0.84,4,4
2,43,399.0,371.0,7.02,5,5
2,46,421.0,392.0,6.89,5,5
2,49,472.0,438.0,7.20,5,5
2,52,476.0,434.0,8.82,6,6
2,55,526.0,480.0,8.75,6,6
2,58,545.0,542.0,0.55,6,6
2,61,585.0,530.0,9.40,7,7
2,64,571.0,568.0,0.53,7,7
2,67,640.0,612.0,4.38,7,7
2,70,664.0,644.0,3.01,7,7
2,73,728.0,668.0,8.24,8,8
2,76,702.0,685.0,2.42,8,8
2,79,758.0,735.0,3.03,8,8
2,82,795.0,769.0,3.27,9,9
2,85,842.0,792.0,5.94,9,9
2,88,817.0,799.0,2.20,9,9
2,91,902.0,863.0,4.32,10,10
2,94,905.0,905.0,0.00,10,10
2,97,952.0,943.0,0.95,10,10
2,100,951.0,969.0,-1.89,10,10
2,103,1030.0,973.0,5.53,11,11
2,106,1044.0,1008.0,3.45,11,11
2,109,1106.0,1024.0,7.41,11,11
2,112,1050.0,1043.0,0.67,12,12
2,115,1163.0,1106.0,4.90,12,12
2,118,1170.0,1125.0,3.85,12,12
2,121,1214.0,1130.0,6.92,13,13
2,124,1182.0,1157.0,2.12,13,13
2,127,1247.0,1216.0,2.49,13,13
3,13,137.0,105.0,23.36,1,1
3,16,153.0,111.0,27.45,2,2
3,19,183.0,149.0,18.58,2,2
3,22,211.0,189.0,10.43,2,2
3,25,242.0,228.0,5.79,2,2
3,28,278.0,256.0,7.91,2,2
3,31,324.0,275.0,15.12,3,3
3,34,346.0,314.0,9.25,3,3
3,37,376.0,348.0,7.45,3,3
3,40,395.0,389.0,1.52,3,3
3,43,452.0,433.0,4.20,3,3
3,46,473.0,417.0,11.84,4,4
3,49,517.0,458.0,11.41,4,4
3,52,518.0,506.0,2.32,4,4
3,55,585.0,553.0,5.47,4,4
3,58,624.0,612.0,1.92,4,4
3,61,660.0,581.0,11.97,5,5
3,64,633.0,612.0,3.32,5,5
3,67,715.0,670.0,6.29,5,5
3,70,730.0,723.0,0.96,5,5
3,73,812.0,760.0,6.40,5,5
3,76,781.0,742.0,4.99,6,6
3,79,863.0,797.0,7.65,6,6
3,82,875.0,837.0,4.34,6,6
3,85,936.0,882.0,5.77,6,6
3,88,921.0,900.0,2.28,6,6
3,91,1004.0,962.0,4.18,7,7
3,94,1005.0,990.0,1.49,7,7
3,97,1064.0,1039.0,2.35,7,7
3,100,1047.0,1042.0,0.48,7,7
3,103,1158.0,1115.0,3.71,7,7
3,106,1177.0,1098.0,6.71,8,8
3,109,1235.0,1120.0,9.31,8,8
3,112,1173.0,1167.0,0.51,8,8
3,115,1274.0,1224.0,3.92,8,8
3,118,1323.0,1233.0,6.80,8,8
3,121,1356.0,1256.0,7.37,9,9
3,124,1319.0,1267.0,3.94,9,9
3,127,1406.0,1347.0,4.20,9,9
4,13,137.0,105.0,23.36,1,1
4,16,189.0,142.0,24.87,1,1
4,19,264.0,188.0,28.79,1,1
4,22,260.0,189.0,27.31,2,2
4,25,290.0,228.0,21.38,2,2
4,28,303.0,256.0,15.51,2,2
4,31,349.0,325.0,6.88,2,2
4,34,391.0,362.0,7.42,2,2
4,37,453.0,402.0,11.26,2,2
4,40,514.0,435.0,15.37,2,2
4,43,529.0,433.0,18.15,3,3
4,46,535.0,472.0,11.78,3,3
4,49,594.0,502.0,15.49,3,3
4,52,604.0,560.0,7.28,3,3
4,55,684.0,602.0,11.99,3,3
4,58,729.0,648.0,11.11,3,3
4,61,761.0,629.0,17.35,4,4
4,64,743.0,660.0,11.17,4,4
4,67,808.0,722.0,10.64,4,4
4,70,840.0,770.0,8.33,4,4
4,73,924.0,808.0,12.55,4,4
4,76,918.0,856.0,6.75,4,4
4,79,1020.0,893.0,12.45,4,4
4,82,1029.0,893.0,13.22,5,5
4,85,1078.0,924.0,14.29,5,5
4,88,1051.0,952.0,9.42,5,5
4,91,1150.0,1029.0,10.52,5,5
4,94,1153.0,1057.0,8.33,5,5
4,97,1244.0,1113.0,10.53,5,5
4,100,1271.0,1137.0,10.54,5,5
4,103,1324.0,1160.0,12.39,6,6
4,106,1338.0,1178.0,11.96,6,6
4,109,1396.0,1223.0,12.39,6,6
4,112,1348.0,1274.0,5.49,6,6
4,115,1491.0,1336.0,10.40,6,6
4,118,1510.0,1326.0,12.19,6,6
4,121,1568.0,1310.0,16.45,7,7
4,124,1536.0,1358.0,11.59,7,7
4,127,1603.0,1424.0,11.17,7,7
5,13,137.0,105.0,23.36,1,1
5,16,189.0,142.0,24.87,1,1
5,19,264.0,188.0,28.79,1,1
5,22,334.0,234.0,29.94,1,1
5,25,414.0,266.0,35.75,1,1
5,28,362.0,256.0,29.28,2,2
5,31,392.0,325.0,17.09,2,2
5,34,422.0,362.0,14.22,2,2
5,37,472.0,402.0,14.83,2,2
5,40,511.0,435.0,14.87,2,2
5,43,584.0,483.0,17.29,2,2
5,46,652.0,519.0,20.40,2,2
5,49,721.0,562.0,22.05,2,2
5,52,681.0,560.0,17.77,3,3
5,55,735.0,602.0,18.10,3,3
5,58,772.0,648.0,16.06,3,3
5,61,797.0,684.0,14.18,3,3
5,64,832.0,719.0,13.58,3,3
5,67,903.0,774.0,14.29,3,3
5,70,967.0,824.0,14.79,3,3
5,73,1055.0,866.0,17.91,3,3
5,76,1040.0,856.0,17.69,4,4
5,79,1076.0,893.0,17.01,4,4
5,82,1120.0,948.0,15.36,4,4
5,85,1152.0,984.0,14.58,4,4
5,88,1180.0,982.0,16.78,4,4
5,91,1246.0,1064.0,14.61,4,4
5,94,1311.0,1091.0,16.78,4,4
5,97,1395.0,1174.0,15.84,4,4
5,100,1465.0,1215.0,17.06,4,4
5,103,1453.0,1215.0,16.38,5,5
5,106,1487.0,1230.0,17.28,5,5
5,109,1515.0,1292.0,14.72,5,5
5,112,1493.0,1321.0,11.52,5,5
5,115,1611.0,1379.0,14.40,5,5
5,118,1656.0,1402.0,15.34,5,5
5,121,1734.0,1457.0,15.97,5,5
5,124,1783.0,1489.0,16.49,5,5
5,127,1786.0,1478.0,17.25,6,6
6,13,137.0,105.0,23.36,1,1
6,16,189.0,142.0,24.87,1,1
6,19,264.0,188.0,28.79,1,1
6,22,334.0,234.0,29.94,1,1
6,25,414.0,266.0,35.75,1,1
6,28,527.0,316.0,40.04,1,1
6,31,483.0,325.0,32.71,2,2
6,34,501.0,362.0,27.74,2,2
6,37,539.0,402.0,25.42,2,2
6,40,554.0,435.0,21.48,2,2
6,43,619.0,483.0,21.97,2,2
6,46,673.0,519.0,22.88,2,2
6,49,716.0,562.0,21.51,2,2
6,52,784.0,624.0,20.41,2,2
6,55,898.0,653.0,27.28,2,2
6,58,967.0,709.0,26.68,2,2
6,61,947.0,684.0,27.77,3,3
6,64,919.0,719.0,21.76,3,3
6,67,1014.0,774.0,23.67,3,3
6,70,1026.0,824.0,19.69,3,3
6,73,1086.0,866.0,20.26,3,3
6,76,1116.0,916.0,17.92,3,3
6,79,1196.0,948.0,20.74,3,3
6,82,1271.0,1030.0,18.96,3,3
6,85,1350.0,1055.0,21.85,3,3
6,88,1437.0,1149.0,20.04,3,3
6,91,1434.0,1064.0,25.80,4,4
6,94,1433.0,1091.0,23.87,4,4
6,97,1472.0,1174.0,20.24,4,4
6,100,1491.0,1215.0,18.51,4,4
6,103,1566.0,1255.0,19.86,4,4
6,106,1630.0,1283.0,21.29,4,4
6,109,1692.0,1347.0,20.39,4,4
6,112,1704.0,1366.0,19.84,4,4
6,115,1875.0,1447.0,22.83,4,4
6,118,1948.0,1518.0,22.07,4,4
6,121,1904.0,1457.0,23.48,5,5
6,124,1896.0,1489.0,21.47,5,5
6,127,1965.0,1544.0,21.42,5,5
