n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,6.0486e-07,6.0486e-07,3.4921e-07,3.4921e-07,4.24302e-08,4.24302e-08
15,5.13905e-06,5.13904e-06,5.84275e-06,5.84273e-06,4.43333e-06,4.43332e-06
25,8.20057e-06,8.20053e-06,7.50394e-06,7.50391e-06,7.8568e-06,7.85677e-06
35,1.39948e-05,1.39947e-05,1.11259e-05,1.11258e-05,1.16331e-05,1.16331e-05
45,1.66614e-05,1.66613e-05,1.59588e-05,1.59586e-05,1.60129e-05,1.60128e-05
55,2.23413e-05,2.23411e-05,1.98875e-05,1.98873e-05,1.9689e-05,1.96888e-05
65,2.72203e-05,2.72199e-05,2.38061e-05,2.38058e-05,2.32588e-05,2.32585e-05
75,2.94267e-05,2.94263e-05,2.85407e-05,2.85403e-05,2.84365e-05,2.84361e-05
85,3.72309e-05,3.72302e-05,3.28102e-05,3.28097e-05,3.21186e-05,3.21181e-05
95,4.0176e-05,4.01752e-05,3.79539e-05,3.79532e-05,3.4688e-05,3.46874e-05
105,4.56234e-05,4.56224e-05,4.16498e-05,4.16489e-05,4.11708e-05,4.117e-05
115,5.13904e-05,5.13891e-05,4.76738e-05,4.76727e-05,4.56969e-05,4.56959e-05
125,5.49141e-05,5.49126e-05,4.95614e-05,4.95602e-05,4.84238e-05,4.84226e-05
135,6.50197e-05,6.50176e-05,5.32076e-05,5.32061e-05,5.14944e-05,5.14931e-05
145,6.60754e-05,6.60732e-05,5.9654e-05,5.96522e-05,5.91841e-05,5.91824e-05
155,7.53209e-05,7.53181e-05,6.47769e-05,6.47748e-05,6.25585e-05,6.25565e-05
165,7.76777e-05,7.76747e-05,6.90251e-05,6.90227e-05,6.67337e-05,6.67315e-05
175,8.39119e-05,8.39084e-05,7.6247e-05,7.62441e-05,6.95057e-05,6.95032e-05
185,8.92941e-05,8.92901e-05,7.8445e-05,7.84419e-05,7.56867e-05,7.56839e-05
195,9.27516e-05,9.27473e-05,8.55549e-05,8.55512e-05,8.01587e-05,8.01555e-05
205,0.000101564,0.000101559,8.87395e-05,8.87355e-05,8.75568e-05,8.75529e-05
215,0.00011004,0.000110034,9.51063e-05,9.51017e-05,9.01692e-05,9.01652e-05
225,0.000109454,0.000109449,9.78495e-05,9.78447e-05,9.4946e-05,9.49414e-05
235,0.000111007,0.000111001,0.00010412,0.000104115,0.000101528,0.000101523
245,0.000116182,0.000116175,0.00010945,0.000109444,0.000105014,0.000105008
255,0.000124685,0.000124677,0.000116994,0.000116987,0.00010292,0.000102915
265,0.000127794,0.000127786,0.000121655,0.000121648,0.000113015,0.000113009
275,0.000139952,0.000139942,0.000126902,0.000126894,0.000121145,0.000121138
285,0.000140207,0.000140197,0.000128912,0.000128904,0.000126286,0.000126278
295,0.000148493,0.000148482,0.000129892,0.000129884,0.000123784,0.000123776
305,0.00015453,0.000154518,0.000136648,0.000136639,0.000130371,0.000130363
315,0.000149264,0.000149253,0.000144217,0.000144206,0.000136406,0.000136397
325,0.000170003,0.000169989,0.000142209,0.000142199,0.00014259,0.00014258
335,0.000171141,0.000171126,0.000156139,0.000156127,0.000143608,0.000143597
345,0.000171523,0.000171509,0.000158149,0.000158136,0.00014868,0.000148669
355,0.000182262,0.000182246,0.000158831,0.000158818,0.00015592,0.000155908
365,0.000182619,0.000182603,0.000163575,0.000163562,0.000161397,0.000161384
375,0.000195482,0.000195463,0.000171238,0.000171224,0.000156645,0.000156633
385,0.000191947,0.000191929,0.000179359,0.000179343,0.000165637,0.000165623
395,0.000209488,0.000209466,0.000184911,0.000184894,0.000173071,0.000173056
405,0.000211397,0.000211375,0.000189046,0.000189028,0.000179757,0.000179741
415,0.000217229,0.000217205,0.000197638,0.000197618,0.00018148,0.000181463
425,0.000227324,0.000227298,0.000203917,0.000203896,0.000186857,0.000186839
435,0.000224221,0.000224196,0.000203387,0.000203366,0.000194788,0.000194769
445,0.000239344,0.000239316,0.000205706,0.000205685,0.000197014,0.000196994
