n,k,model,status,blocks,qubits,toffolis,joint_measure,measure,automorphism,cross_module,relay_hops,analytic_total_error,total_error,p_fail
5,3,gross_1e-3,analytic,2,22,7,11,75,84,4,11,0.023009868000000003,0.023009868000000003,0.022747159805331263
5,3,gross_1e-4,analytic,2,22,7,11,75,84,4,11,6.048601976e-07,6.048601976e-07,6.048600146302263e-07
5,4,gross_1e-3,analytic,2,22,7,6,60,84,3,6,0.012793368000000001,0.012793368000000001,0.012711880736614667
5,4,gross_1e-4,analytic,2,22,7,6,60,84,3,6,3.492101976e-07,3.492101976e-07,3.4921013658539835e-07
5,5,gross_1e-3,analytic,1,11,7,0,42,84,0,0,0.000533568,0.000533568,0.0005334256779087054
5,5,gross_1e-4,analytic,1,11,7,0,42,84,0,0,4.24301976e-08,4.24301976e-08,4.2430196689480226e-08
15,3,gross_1e-3,analytic,5,55,27,98,421,324,12,98,0.20191294800000004,0.20191294800000004,0.18283393921401292
15,3,gross_1e-4,analytic,5,55,27,98,421,324,12,98,5.1390493336e-06,5.1390493336e-06,5.139036128753993e-06
15,4,gross_1e-3,analytic,4,44,27,112,451,324,9,112,0.23038594800000003,0.23038594800000003,0.20577298698387958
15,4,gross_1e-4,analytic,4,44,27,112,451,324,9,112,5.8427493336e-06,5.8427493336e-06,5.842732264782491e-06
15,5,gross_1e-3,analytic,3,33,27,84,389,324,11,84,0.17341774800000004,0.17341774800000004,0.1592136953270331
15,5,gross_1e-4,analytic,3,33,27,84,389,324,11,84,4.433329333600001e-06,4.433329333600001e-06,4.4333195063916975e-06
25,3,gross_1e-3,analytic,9,99,47,156,690,564,25,156,0.32167132800000003,0.32167132800000003,0.2750635825193325
25,3,gross_1e-4,analytic,9,99,47,156,690,564,25,156,8.2005684696e-06,8.2005684696e-06,8.200534845070884e-06
25,4,gross_1e-3,analytic,7,77,47,142,667,564,21,142,0.293276028,0.293276028,0.2541837538845888
25,4,gross_1e-4,analytic,7,77,47,142,667,564,21,142,7.503938469600001e-06,7.503938469600001e-06,7.503910315120876e-06
25,5,gross_1e-3,analytic,5,55,47,149,683,564,19,149,0.30752362800000005,0.30752362800000005,0.26473450551054767
